営業日,営業,並盛個数,レディース個数,大盛個数,来客数計,売上計,リピート計,11~12,12~13,13~14,14~15,17~18,18~19,19~20,20~21,21~,チケ利用,同伴,Makuake,天気,客単価,曜日,月,週,年
 3月 25 (土),休み,,,,,,,,,,,,,,,,,,,,,,,,2017
 3月 26 (日),一日,,,,96,94500,54,15,17,19,8,14,10,4,8,1,0,0,0,4. 雨,984, 7.日曜日,3,13,2017
 3月 27 (月),一日,,,,70,69250,57,12,16,9,5,2,6,9,6,5,0,0,0,4. 雨,989, 1.月曜日,3,13,2017
 3月 28 (火),一日,,,,103,101700,68,11,19,19,13,5,8,12,8,8,0,0,0,1. 晴れ,987, 2.火曜日,3,13,2017
 3月 29 (水),一日,,,,81,78100,63,8,18,16,8,5,4,9,11,2,0,0,0,1. 晴れ,964, 3.水曜日,3,13,2017
 3月 30 (木),一日,,,,95,94100,54,14,21,16,4,5,6,11,12,6,0,0,0,1. 晴れ,991, 4.木曜日,3,13,2017
 3月 31 (金),一日,,,,88,87550,45,20,16,24,4,1,2,6,8,7,0,0,0,2. 曇り,995, 5.金曜日,3,13,2017
 4月 1 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,4,13,2017
 4月 2 (日),一日,,,,149,147150,74,19,26,20,20,14,12,16,12,10,1,0,0,1. 晴れ,988, 7.日曜日,4,14,2017
 4月 3 (月),一日,,,,82,78900,56,19,18,6,5,3,12,6,8,5,0,0,0,3. 曇り雨,962, 1.月曜日,4,14,2017
 4月 4 (火),一日,,,,71,68800,51,19,18,13,2,0,2,5,7,5,0,0,0,1. 晴れ,969, 2.火曜日,4,14,2017
 4月 5 (水),一日,,,,83,80950,52,18,22,5,6,2,6,7,7,10,0,0,0,1. 晴れ,975, 3.水曜日,4,14,2017
 4月 6 (木),一日,,,,82,78450,49,13,21,13,7,2,6,8,7,5,0,0,0,1. 晴れ,957, 4.木曜日,4,14,2017
 4月 7 (金),一日,,,,92,91000,62,16,17,14,13,3,6,7,11,5,0,0,0,2. 曇り,989, 5.金曜日,4,14,2017
 4月 8 (土),一日,,,,76,75800,36,13,18,8,3,11,9,3,7,4,0,0,0,4. 雨,997, 6.土曜日,4,14,2017
 4月 9 (日),一日,,,,94,92200,31,12,21,13,12,10,8,7,11,0,0,0,0,4. 雨,981, 7.日曜日,4,15,2017
 4月 10 (月),一日,,,,77,73100,47,16,21,5,5,4,7,3,7,9,0,0,1,2. 曇り,949, 1.月曜日,4,15,2017
 4月 11 (火),一日,,,,72,72600,49,14,20,7,6,3,5,4,7,6,0,0,0,4. 雨,1008, 2.火曜日,4,15,2017
 4月 12 (水),一日,,,,99,94500,76,17,17,9,7,8,8,11,12,10,0,0,0,1. 晴れ,955, 3.水曜日,4,15,2017
 4月 13 (木),一日,,,,86,84800,40,15,22,13,0,4,4,10,11,7,0,0,0,1. 晴れ,986, 4.木曜日,4,15,2017
 4月 14 (金),一日,,,,74,71500,46,8,22,9,4,8,4,6,8,5,0,0,0,1. 晴れ,966, 5.金曜日,4,15,2017
 4月 15 (土),一日,,,,95,94950,46,17,20,18,3,1,7,15,4,10,0,0,0,1. 晴れ,999, 6.土曜日,4,15,2017
 4月 16 (日),一日,,,,83,80350,28,16,10,10,12,10,7,10,7,1,0,0,0,1. 晴れ,968, 7.日曜日,4,16,2017
 4月 17 (月),一日,,,,78,75000,58,18,22,5,9,1,10,5,3,5,0,0,0,2. 曇り,962, 1.月曜日,4,16,2017
 4月 18 (火),一日,,,,88,85950,62,16,19,10,5,3,5,8,11,11,0,0,0,1. 晴れ,977, 2.火曜日,4,16,2017
 4月 19 (水),一日,,,,77,74250,52,7,21,5,8,5,3,15,10,3,0,0,0,1. 晴れ,964, 3.水曜日,4,16,2017
 4月 20 (木),一日,,,,87,85400,41,12,22,9,10,2,4,8,12,8,0,0,0,1. 晴れ,982, 4.木曜日,4,16,2017
 4月 21 (金),一日,,,,120,115450,56,14,27,18,7,3,8,12,11,20,0,0,0,1. 晴れ,962, 5.金曜日,4,16,2017
 4月 22 (土),一日,,,,73,70150,28,10,20,11,11,6,4,5,5,1,0,0,0,2. 曇り,961, 6.土曜日,4,16,2017
 4月 23 (日),一日,,,,118,116250,46,16,23,24,18,7,12,8,6,4,0,0,0,1. 晴れ,985, 7.日曜日,4,17,2017
 4月 24 (月),一日,,,,74,71200,49,10,12,20,4,3,6,3,8,8,0,0,0,1. 晴れ,962, 1.月曜日,4,17,2017
 4月 25 (火),一日,,,,81,79000,52,20,23,2,6,2,5,15,4,4,0,0,0,1. 晴れ,975, 2.火曜日,4,17,2017
 4月 26 (水),一日,,,,78,76200,48,18,16,9,2,4,7,10,10,2,0,0,0,1. 晴れ,977, 3.水曜日,4,17,2017
 4月 27 (木),一日,,,,61,59150,37,6,27,8,5,1,3,4,4,3,0,0,0,1. 晴れ,970, 4.木曜日,4,17,2017
 4月 28 (金),一日,,,,97,97850,68,16,22,12,3,3,7,9,11,14,0,0,0,1. 晴れ,1009, 5.金曜日,4,17,2017
 4月 29 (土),一日,,,,82,81850,43,5,17,18,11,5,7,10,6,3,0,0,0,1. 晴れ,998, 6.土曜日,4,17,2017
 4月 30 (日),一日,,,,107,105400,43,23,18,16,8,7,14,7,4,10,0,0,0,1. 晴れ,985, 7.日曜日,4,18,2017
 5月 1 (月),一日,,,,86,86300,50,21,19,12,2,5,8,8,4,7,0,0,0,3. 曇り雨,1003, 1.月曜日,5,18,2017
 5月 2 (火),一日,,,,107,104400,74,10,22,17,12,8,7,12,11,8,0,0,0,1. 晴れ,976, 2.火曜日,5,18,2017
 5月 3 (水),一日,,,,94,90900,36,13,19,22,10,12,4,7,4,3,0,0,0,1. 晴れ,967, 3.水曜日,5,18,2017
 5月 4 (木),一日,,,,81,81050,38,21,8,12,6,11,6,10,5,2,0,0,0,1. 晴れ,1001, 4.木曜日,5,18,2017
 5月 5 (金),一日,,,,81,80000,37,15,15,16,13,4,9,6,1,2,0,0,0,1. 晴れ,988, 5.金曜日,5,18,2017
 5月 6 (土),一日,,,,81,81550,21,7,16,19,5,3,8,12,5,6,0,0,0,1. 晴れ,1007, 6.土曜日,5,18,2017
 5月 7 (日),一日,,,,120,116450,59,24,16,22,22,12,8,7,5,4,2,0,0,1. 晴れ,970, 7.日曜日,5,19,2017
 5月 8 (月),一日,,,,94,93300,63,19,24,12,4,2,8,8,13,4,0,0,0,1. 晴れ,993, 1.月曜日,5,19,2017
 5月 9 (火),一日,,,,80,76200,57,11,14,22,4,2,5,6,9,7,0,0,0,1. 晴れ,953, 2.火曜日,5,19,2017
 5月 10 (水),一日,,,,64,62300,50,5,20,10,5,3,3,1,8,9,0,0,0,1. 晴れ,973, 3.水曜日,5,19,2017
 5月 11 (木),一日,,,,92,91150,64,14,24,15,11,2,10,5,3,8,0,0,0,1. 晴れ,991, 4.木曜日,5,19,2017
 5月 12 (金),一日,,,,96,96350,51,12,20,11,2,2,14,10,17,8,0,0,0,1. 晴れ,1004, 5.金曜日,5,19,2017
 5月 13 (土),一日,,,,69,68900,29,10,8,8,8,9,2,9,14,1,0,0,0,4. 雨,999, 6.土曜日,5,19,2017
 5月 14 (日),一日,,,,124,124000,53,9,28,16,16,8,7,13,14,13,0,0,0,2. 曇り,1000, 7.日曜日,5,20,2017
 5月 15 (月),一日,,,,72,69100,35,10,20,8,5,2,8,12,7,0,0,0,0,2. 曇り,960, 1.月曜日,5,20,2017
 5月 16 (火),一日,,,,84,84800,51,8,18,12,6,1,18,9,8,4,0,0,0,1. 晴れ,1010, 2.火曜日,5,20,2017
 5月 17 (水),一日,,,,104,101150,67,17,21,23,3,3,18,12,7,0,0,0,0,1. 晴れ,973, 3.水曜日,5,20,2017
 5月 18 (木),一日,,,,114,110100,61,19,21,15,9,8,15,11,8,8,0,0,0,1. 晴れ,966, 4.木曜日,5,20,2017
 5月 19 (金),一日,,,,108,107800,61,17,22,13,10,5,8,10,10,13,0,0,0,1. 晴れ,998, 5.金曜日,5,20,2017
 5月 20 (土),一日,,,,123,122900,53,16,23,14,11,18,15,5,9,12,0,0,0,1. 晴れ,999, 6.土曜日,5,20,2017
 5月 21 (日),一日,,,,152,154300,49,16,23,25,25,10,12,16,17,8,0,0,0,1. 晴れ,1015, 7.日曜日,5,21,2017
 5月 22 (月),一日,,,,86,83750,45,12,22,18,1,2,7,9,9,6,0,0,0,1. 晴れ,974, 1.月曜日,5,21,2017
 5月 23 (火),一日,,,,86,85050,43,19,14,6,11,0,10,12,9,5,0,0,0,1. 晴れ,989, 2.火曜日,5,21,2017
 5月 24 (水),一日,,,,95,92700,55,19,23,9,11,13,5,3,7,5,0,0,0,1. 晴れ,976, 3.水曜日,5,21,2017
 5月 25 (木),一日,,,,108,105200,57,23,20,18,4,4,10,16,8,5,0,0,0,1. 晴れ,974, 4.木曜日,5,21,2017
 5月 26 (金),一日,,,,96,95850,44,13,20,13,6,5,5,9,12,13,0,0,0,4. 雨,998, 5.金曜日,5,21,2017
 5月 27 (土),一日,,,,124,120050,53,16,20,21,15,18,12,10,6,6,2,0,0,1. 晴れ,968, 6.土曜日,5,21,2017
 5月 28 (日),一日,,,,154,152300,46,21,24,18,23,19,14,13,12,10,0,0,0,1. 晴れ,989, 7.日曜日,5,22,2017
 5月 29 (月),一日,,,,96,92450,40,10,24,19,4,8,11,6,8,6,0,0,0,1. 晴れ,963, 1.月曜日,5,22,2017
 5月 30 (火),一日,,,,92,92100,64,11,21,15,5,8,5,11,9,7,0,0,0,1. 晴れ,1001, 2.火曜日,5,22,2017
 5月 31 (水),一日,,,,111,108000,77,22,25,15,11,2,8,11,14,3,0,0,0,1. 晴れ,973, 3.水曜日,5,22,2017
 6月 1 (木),一日,,,,89,87450,53,12,24,11,9,3,3,9,17,1,0,0,0,3. 曇り雨,983, 4.木曜日,6,22,2017
 6月 2 (金),一日,,,,111,111500,69,19,22,19,8,5,5,12,14,7,,,,1. 晴れ,1005, 5.金曜日,6,22,2017
 6月 3 (土),一日,,,,111,113000,43,15,25,11,12,10,4,20,10,4,,,,1. 晴れ,1018, 6.土曜日,6,22,2017
 6月 4 (日),一日,,,,142,144400,57,25,20,27,17,13,10,11,11,8,,,,1. 晴れ,1017, 7.日曜日,6,23,2017
 6月 5 (月),一日,,,,97,94450,48,20,20,10,8,4,5,9,16,5,,,,1. 晴れ,974, 1.月曜日,6,23,2017
 6月 6 (火),一日,,,,93,94050,54,11,21,13,7,6,7,6,13,9,,,,2. 曇り,1011, 2.火曜日,6,23,2017
 6月 7 (水),一日,,,,89,88650,64,21,13,7,9,4,5,14,9,7,,,,2. 曇り,996, 3.水曜日,6,23,2017
 6月 8 (木),一日,,,,101,100600,74,12,22,16,6,4,13,11,9,8,,,,2. 曇り,996, 4.木曜日,6,23,2017
 6月 9 (金),一日,,,,108,106850,69,16,30,17,6,5,10,5,9,10,,,,1. 晴れ,989, 5.金曜日,6,23,2017
 6月 10 (土),半日,,,,70,68250,24,18,24,18,10,,,,,,,,,1. 晴れ,975, 6.土曜日,6,23,2017
 6月 11 (日),半日,,,,107,109100,13,30,28,18,31,,,,,,,,,1. 晴れ,1020, 7.日曜日,6,24,2017
 6月 12 (月),一日,,,,143,139200,68,21,23,24,10,9,15,14,18,9,,,,1. 晴れ,973, 1.月曜日,6,24,2017
 6月 13 (火),一日,,,,106,103450,55,22,21,10,9,6,5,10,10,13,,,,4. 雨,976, 2.火曜日,6,24,2017
 6月 14 (水),一日,,,,112,109150,43,21,20,19,7,13,13,7,10,2,,,,1. 晴れ,975, 3.水曜日,6,24,2017
 6月 15 (木),一日,,,,126,125600,66,22,25,13,13,5,8,16,17,7,,,,1. 晴れ,997, 4.木曜日,6,24,2017
 6月 16 (金),一日,,,,123,121500,61,25,18,10,8,9,7,7,21,18,,,,1. 晴れ,988, 5.金曜日,6,24,2017
 6月 17 (土),一日,,,,154,155650,57,24,24,27,21,23,11,9,12,3,,,,1. 晴れ,1011, 6.土曜日,6,24,2017
 6月 18 (日),一日,,,,141,142750,34,30,27,24,12,12,11,11,10,4,,,,3. 曇り雨,1012, 7.日曜日,6,25,2017
 6月 19 (月),一日,,,,129,126100,55,21,21,18,4,14,17,13,10,11,,,,1. 晴れ,978, 1.月曜日,6,25,2017
 6月 20 (火),一日,,,,93,92600,47,10,19,17,3,3,8,12,11,10,,,,1. 晴れ,996, 2.火曜日,6,25,2017
 6月 21 (水),一日,,,,88,87400,63,18,11,14,3,8,8,11,8,7,,,,4. 雨,993, 3.水曜日,6,25,2017
 6月 22 (木),一日,,,,125,122850,66,23,19,12,8,3,19,14,17,10,,,,1. 晴れ,983, 4.木曜日,6,25,2017
 6月 23 (金),一日,,,,135,134150,76,31,19,17,9,5,9,19,12,14,,,,1. 晴れ,994, 5.金曜日,6,25,2017
 6月 24 (土),一日,,,,162,164150,61,24,24,22,21,19,10,17,19,6,,,,1. 晴れ,1013, 6.土曜日,6,25,2017
 6月 25 (日),一日,,,,138,136700,64,25,27,19,18,8,16,14,4,7,,,,3. 曇り雨,991, 7.日曜日,6,26,2017
 6月 26 (月),一日,,,,117,113400,65,21,25,23,7,5,19,5,6,6,,,,4. 雨,969, 1.月曜日,6,26,2017
 6月 27 (火),一日,,,,90,88400,51,17,24,17,4,2,9,9,5,3,,,,1. 晴れ,982, 2.火曜日,6,26,2017
 6月 28 (水),一日,,,,112,112200,58,9,25,20,10,9,11,12,9,7,,,,1. 晴れ,1002, 3.水曜日,6,26,2017
 6月 29 (木),一日,,,,130,124750,70,24,19,21,9,5,20,11,8,13,,,,1. 晴れ,960, 4.木曜日,6,26,2017
 6月 30 (金),一日,,,,132,128150,67,20,25,12,7,10,17,20,9,12,,,,2. 曇り,971, 5.金曜日,6,26,2017
 7月 1 (土),一日,106,45,15,151,150800,71,24,23,22,24,12,12,14,12,8,,,,2. 曇り,999, 6.土曜日,7,26,2017
 7月 2 (日),一日,107,43,13,150,149200,53,27,25,25,14,17,12,11,14,5,,,,2. 曇り,995, 7.日曜日,7,27,2017
 7月 3 (月),一日,80,20,12,100,97400,64,20,24,15,5,3,10,8,14,1,,,,2. 曇り,974, 1.月曜日,7,27,2017
 7月 4 (火),一日,70,23,10,93,93200,67,15,22,17,8,7,6,9,6,3,,,,4. 雨,1002, 2.火曜日,7,27,2017
 7月 5 (水),一日,84,25,17,109,106600,68,25,12,23,5,6,5,14,14,5,,,,2. 曇り,978, 3.水曜日,7,27,2017
 7月 6 (木),一日,89,33,14,122,119950,59,24,23,16,8,3,5,15,12,16,,,,1. 晴れ,983, 4.木曜日,7,27,2017
 7月 7 (金),一日,106,25,7,131,131800,75,15,30,18,9,11,13,15,9,11,,,,1. 晴れ,1006, 5.金曜日,7,27,2017
 7月 8 (土),一日,104,38,15,142,144350,58,13,22,19,15,20,8,14,17,14,,,,1. 晴れ,1017, 6.土曜日,7,27,2017
 7月 9 (日),一日,103,45,18,148,150300,72,28,22,25,19,14,15,12,9,4,,,,1. 晴れ,1016, 7.日曜日,7,28,2017
 7月 10 (月),一日,77,32,9,109,108450,46,20,21,12,7,8,9,12,10,10,,,,1. 晴れ,995, 1.月曜日,7,28,2017
 7月 11 (火),一日,112,17,16,129,127900,63,23,26,22,12,6,6,12,16,6,,,,1. 晴れ,991, 2.火曜日,7,28,2017
 7月 12 (水),一日,76,25,18,101,102900,57,19,27,14,7,1,8,11,5,9,,,,1. 晴れ,1019, 3.水曜日,7,28,2017
 7月 13 (木),一日,88,27,16,115,113150,71,18,22,18,5,7,13,11,13,8,,,,1. 晴れ,984, 4.木曜日,7,28,2017
 7月 14 (金),一日,103,26,18,129,126550,68,16,26,15,7,6,13,22,16,8,,,,1. 晴れ,981, 5.金曜日,7,28,2017
 7月 15 (土),一日,91,41,10,132,132050,67,26,23,17,15,10,6,11,13,11,,,,1. 晴れ,1000, 6.土曜日,7,28,2017
 7月 16 (日),一日,108,31,14,139,137650,43,27,12,23,21,15,14,6,12,9,,,,1. 晴れ,990, 7.日曜日,7,29,2017
 7月 17 (月),一日,95,43,15,138,135650,61,18,23,21,14,11,8,21,14,8,,,,1. 晴れ,983, 1.月曜日,7,29,2017
 7月 18 (火),一日,74,22,14,96,93600,48,14,21,16,9,5,6,6,5,14,,,,1. 晴れ,975, 2.火曜日,7,29,2017
 7月 19 (水),一日,90,23,17,113,112900,60,16,25,12,12,3,14,9,13,9,,,,1. 晴れ,999, 3.水曜日,7,29,2017
 7月 20 (木),一日,59,23,11,82,82750,37,20,20,9,1,1,8,7,9,7,,,,1. 晴れ,1009, 4.木曜日,7,29,2017
 7月 21 (金),一日,70,24,12,94,93100,59,14,24,16,4,3,8,11,10,4,,,,1. 晴れ,990, 5.金曜日,7,29,2017
 7月 22 (土),一日,103,41,14,144,140450,53,22,16,30,15,12,19,10,13,7,,,,1. 晴れ,975, 6.土曜日,7,29,2017
 7月 23 (日),一日,120,37,12,157,155850,72,29,17,25,25,12,19,10,13,7,,,,3. 曇り雨,993, 7.日曜日,7,30,2017
 7月 24 (月),一日,73,20,11,93,91600,55,13,22,18,5,1,11,9,8,6,,,,2. 曇り,985, 1.月曜日,7,30,2017
 7月 25 (火),一日,69,27,9,96,95450,61,19,22,13,4,4,7,11,9,7,,,,1. 晴れ,994, 2.火曜日,7,30,2017
 7月 26 (水),一日,81,21,10,102,97450,60,21,21,8,7,5,11,10,10,9,,,,1. 晴れ,955, 3.水曜日,7,30,2017
 7月 27 (木),一日,86,15,17,101,99550,67,12,28,10,3,7,9,9,12,11,,,,1. 晴れ,986, 4.木曜日,7,30,2017
 7月 28 (金),一日,78,34,19,112,111950,61,9,22,14,8,7,9,16,15,12,,,,1. 晴れ,1000, 5.金曜日,7,30,2017
 7月 29 (土),一日,96,55,19,151,153550,68,30,27,21,15,13,12,10,15,8,,,,1. 晴れ,1017, 6.土曜日,7,30,2017
 7月 30 (日),一日,84,37,8,121,121150,41,16,20,21,18,12,8,10,14,2,,,,1. 晴れ,1001, 7.日曜日,7,31,2017
 7月 31 (月),一日,71,32,18,103,102500,63,12,24,14,5,11,14,6,11,6,,,,1. 晴れ,995, 1.月曜日,7,31,2017
 8月 1 (火),一日,77,19,11,96,93950,49,23,20,19,4,4,8,8,3,7,,,,3. 曇り雨,979, 2.火曜日,8,31,2017
 8月 2 (水),一日,78,33,9,111,109300,64,18,18,18,5,5,6,16,13,12,,,,2. 曇り,985, 3.水曜日,8,31,2017
 8月 3 (木),一日,85,24,13,109,105900,61,23,18,10,7,1,8,19,14,9,,,,1. 晴れ,972, 4.木曜日,8,31,2017
 8月 4 (金),一日,105,27,22,132,131350,74,27,26,12,12,5,13,14,10,13,,,,1. 晴れ,995, 5.金曜日,8,31,2017
 8月 5 (土),一日,101,25,11,126,124650,55,25,23,19,21,11,8,6,7,6,,,,1. 晴れ,989, 6.土曜日,8,31,2017
 8月 6 (日),一日,85,28,18,113,111850,53,18,15,21,11,11,17,2,9,9,,,,1. 晴れ,990, 7.日曜日,8,32,2017
 8月 7 (月),一日,67,21,11,88,85600,69,22,20,12,7,3,7,5,5,7,,,,1. 晴れ,973, 1.月曜日,8,32,2017
 8月 8 (火),一日,71,20,10,91,89250,51,17,15,19,6,3,13,6,5,7,,,,2. 曇り,981, 2.火曜日,8,32,2017
 8月 9 (水),一日,80,27,11,107,104650,65,20,21,11,6,3,8,18,8,12,,,,1. 晴れ,978, 3.水曜日,8,32,2017
 8月 10 (木),一日,96,30,17,126,128350,74,25,22,10,7,5,12,14,16,15,,,,1. 晴れ,1019, 4.木曜日,8,32,2017
 8月 11 (金),一日,97,32,14,129,125750,49,16,20,22,15,16,8,17,6,9,,,,1. 晴れ,975, 5.金曜日,8,32,2017
 8月 12 (土),一日,85,21,11,106,106050,48,12,19,18,15,7,6,10,16,3,,,,1. 晴れ,1000, 6.土曜日,8,32,2017
 8月 13 (日),一日,68,15,7,83,84050,50,9,21,9,12,7,2,9,8,6,,,,2. 曇り,1013, 7.日曜日,8,33,2017
 8月 14 (月),一日,86,24,14,110,106700,56,12,27,17,15,10,12,8,4,5,,,,4. 雨,970, 1.月曜日,8,33,2017
 8月 15 (火),一日,76,24,14,100,99150,37,15,27,19,6,6,4,10,5,8,,,,4. 雨,992, 2.火曜日,8,33,2017
 8月 16 (水),一日,61,21,16,82,80350,54,10,26,15,5,6,5,7,6,2,,,,4. 雨,980, 3.水曜日,8,33,2017
 8月 17 (木),一日,74,17,12,91,92300,47,13,22,11,6,2,9,14,6,8,,,,1. 晴れ,1014, 4.木曜日,8,33,2017
 8月 18 (金),一日,98,30,14,128,127050,68,18,25,16,13,5,12,8,19,12,,,,1. 晴れ,993, 5.金曜日,8,33,2017
 8月 19 (土),一日,89,30,15,119,114450,48,21,16,24,13,7,9,10,9,10,,,,2. 曇り,962, 6.土曜日,8,33,2017
 8月 20 (日),一日,99,36,19,135,135250,60,30,16,23,23,12,6,16,3,6,,,,1. 晴れ,1002, 7.日曜日,8,34,2017
 8月 21 (月),一日,85,25,13,110,107050,73,20,25,14,11,1,9,12,13,5,,,,1. 晴れ,973, 1.月曜日,8,34,2017
 8月 22 (火),一日,88,17,17,105,105450,69,20,27,14,5,4,11,9,12,3,,,,1. 晴れ,1004, 2.火曜日,8,34,2017
 8月 23 (水),一日,80,21,9,101,100000,60,13,22,21,6,1,10,6,13,9,,,,1. 晴れ,990, 3.水曜日,8,34,2017
 8月 24 (木),一日,69,13,13,82,79750,57,20,18,12,6,3,5,10,6,2,,,,1. 晴れ,973, 4.木曜日,8,34,2017
 8月 25 (金),一日,106,27,18,133,129850,88,22,21,25,9,5,13,12,12,14,,,,1. 晴れ,976, 5.金曜日,8,34,2017
 8月 26 (土),一日,110,41,18,151,147950,78,12,37,20,20,13,14,13,15,7,,,,1. 晴れ,980, 6.土曜日,8,34,2017
 8月 27 (日),一日,91,34,12,125,120450,49,23,25,15,7,16,8,11,11,9,,,,1. 晴れ,964, 7.日曜日,8,35,2017
 8月 28 (月),一日,73,23,17,96,92400,54,17,24,16,0,10,5,11,1,12,,,,1. 晴れ,963, 1.月曜日,8,35,2017
 8月 29 (火),一日,76,16,12,92,86650,71,17,21,16,11,5,3,5,5,9,,,,1. 晴れ,942, 2.火曜日,8,35,2017
 8月 30 (水),一日,76,24,13,100,101200,78,22,17,19,4,3,12,4,7,12,,,,1. 晴れ,1012, 3.水曜日,8,35,2017
 8月 31 (木),一日,60,28,11,88,84900,47,19,16,11,11,3,4,14,4,6,,,,3. 曇り雨,965, 4.木曜日,8,35,2017
