営業日,営業,並盛個数,レディース個数,大盛個数,来客数計,売上計,リピート計,11~12,12~13,13~14,14~15,17~18,18~19,19~20,20~21,21~,チケ利用,同伴,Makuake,天気,客単価,曜日,月,週,年
 10月 19 (水),一日,,,,67,65150,25,10,19,8,1,4,9,7,6,6,,,,2. 曇り,972, 3.水曜日,10,43,2016
 10月 20 (木),一日,,,,87,87700,34,10,25,5,6,2,9,12,13,8,,,1,1. 晴れ,1008, 4.木曜日,10,43,2016
 10月 21 (金),一日,,,,88,86300,28,20,24,9,3,4,10,7,13,0,0,0,1,1. 晴れ,981, 5.金曜日,10,43,2016
 10月 22 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,10,43,2016
 10月 23 (日),一日,,,,128,126450,51,27,21,20,20,8,8,8,16,3,1,1,0,1. 晴れ,988, 7.日曜日,10,44,2016
 10月 24 (月),一日,,,,110,108950,42,18,26,13,6,7,13,10,10,8,1,0,2,1. 晴れ,990, 1.月曜日,10,44,2016
 10月 25 (火),一日,,,,87,86050,20,14,26,16,4,3,11,6,7,2,0,0,0,3. 曇り雨,989, 2.火曜日,10,44,2016
 10月 26 (水),一日,,,,100,95750,33,21,19,8,18,5,6,9,15,5,0,0,2,1. 晴れ,958, 3.水曜日,10,44,2016
 10月 27 (木),一日,,,,73,70100,14,11,20,6,5,9,11,5,4,3,0,0,0,1. 晴れ,960, 4.木曜日,10,44,2016
 10月 28 (金),一日,,,,80,77200,25,13,25,10,8,7,5,6,7,0,0,0,1,1. 晴れ,965, 5.金曜日,10,44,2016
 10月 29 (土),一日,,,,,,,,,,,,,,,,,,,,,,,44,2016
 10月 30 (日),一日,,,,119,120050,40,25,17,20,16,6,12,10,9,7,0,0,2,1. 晴れ,1009, 7.日曜日,10,45,2016
 10月 31 (月),一日,,,,82,81100,31,12,17,13,6,5,3,12,5,9,0,0,0,1. 晴れ,989, 1.月曜日,10,45,2016
 11月 1 (火),一日,,,,78,75600,28,13,19,13,4,2,4,10,5,9,0,0,1,1. 晴れ,969, 2.火曜日,11,45,2016
 11月 2 (水),一日,,,,86,81100,31,16,24,11,8,6,6,4,5,6,0,0,0,2. 曇り,943, 3.水曜日,11,45,2016
 11月 3 (木),一日,,,,91,87550,33,23,15,11,11,7,11,6,5,2,0,0,0,1. 晴れ,962, 4.木曜日,11,45,2016
 11月 4 (金),一日,,,,71,68550,34,9,16,8,7,5,7,8,8,3,0,0,0,1. 晴れ,965, 5.金曜日,11,45,2016
 11月 5 (土),一日,,,,,,,,,,,,,,,,,,,,,,,45,2016
 11月 6 (日),一日,,,,113,109300,20,19,18,20,16,13,6,12,7,4,0,0,2,1. 晴れ,967, 7.日曜日,11,46,2016
 11月 7 (月),一日,,,,90,86650,31,11,25,12,6,2,0,15,4,15,0,0,0,1. 晴れ,963, 1.月曜日,11,46,2016
 11月 8 (火),一日,,,,91,88700,42,18,24,12,1,7,13,13,2,1,0,0,0,1. 晴れ,975, 2.火曜日,11,46,2016
 11月 9 (水),一日,,,,72,70750,29,15,16,7,9,3,3,12,7,0,0,0,0,1. 晴れ,983, 3.水曜日,11,46,2016
 11月 10 (木),一日,,,,59,57350,35,3,20,7,1,5,6,6,6,5,0,0,0,3. 曇り雨,972, 4.木曜日,11,46,2016
 11月 11 (金),一日,,,,94,91450,42,17,22,19,3,5,6,4,10,9,0,0,0,2. 曇り,973, 5.金曜日,11,46,2016
 11月 12 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,11,46,2016
 11月 13 (日),一日,,,,125,123850,41,23,15,21,23,10,10,12,10,5,4,0,0,1. 晴れ,991, 7.日曜日,11,47,2016
 11月 14 (月),一日,,,,59,58350,26,4,22,9,2,6,4,4,6,3,0,0,0,3. 曇り雨,989, 1.月曜日,11,47,2016
 11月 15 (火),一日,,,,66,66800,37,7,14,8,6,1,5,8,6,10,0,0,0,2. 曇り,1012, 2.火曜日,11,47,2016
 11月 16 (水),一日,,,,77,73650,34,9,22,12,7,2,3,9,9,4,0,0,0,1. 晴れ,956, 3.水曜日,11,47,2016
 11月 17 (木),一日,,,,78,77000,28,6,24,5,3,9,11,12,8,0,0,0,0,2. 曇り,987, 4.木曜日,11,47,2016
 11月 18 (金),一日,,,,70,68600,32,14,12,11,3,3,5,13,7,3,0,0,0,2. 曇り,980, 5.金曜日,11,47,2016
 11月 19 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,11,47,2016
 11月 20 (日),一日,,,,96,96900,46,18,20,16,11,9,5,4,8,9,4,0,0,1. 晴れ,1009, 7.日曜日,11,48,2016
 11月 21 (月),一日,,,,57,55950,29,3,18,11,5,2,1,2,13,2,0,0,0,3. 曇り雨,982, 1.月曜日,11,48,2016
 11月 22 (火),一日,,,,80,77450,33,13,23,15,6,1,5,7,10,2,0,0,0,1. 晴れ,968, 2.火曜日,11,48,2016
 11月 23 (水),一日,,,,101,98900,33,16,23,17,9,7,5,13,7,5,0,0,0,1. 晴れ,979, 3.水曜日,11,48,2016
 11月 24 (木),一日,,,,58,56600,28,3,11,7,2,3,4,14,8,8,0,0,0,5.雪,976, 4.木曜日,11,48,2016
 11月 25 (金),一日,,,,71,68350,42,17,21,4,1,1,7,8,7,6,0,0,0,1. 晴れ,963, 5.金曜日,11,48,2016
